AVG_time,AVG,AVGSDI_time,AVGSDI,STD_time,STD,STDSDI_time,STDSDI,CNT_time,CNT,CNTSDI_time,CNTSDI,OUT_time,OUT,OUTSDI_time,OUTSDI
11/29/2021 14:55:30,NaN,11/29/2021 14:55:30,NaN,11/29/2021 14:55:30,NaN,11/29/2021 14:55:30,NaN,11/29/2021 14:55:30,0,11/29/2021 14:55:30,9,11/29/2021 14:55:30,0,11/29/2021 14:55:30,0
11/29/2021 15:01:30,NaN,11/29/2021 15:01:30,2.178,11/29/2021 15:01:30,NaN,11/29/2021 15:01:30,0.002,11/29/2021 15:01:30,0,11/29/2021 15:01:30,19,11/29/2021 15:01:30,0,11/29/2021 15:01:30,0
11/29/2021 15:13:30,NaN,11/29/2021 15:13:30,2.167,11/29/2021 15:13:30,NaN,11/29/2021 15:13:30,0.002,11/29/2021 15:13:30,0,11/29/2021 15:13:30,37,11/29/2021 15:13:30,0,11/29/2021 15:13:30,0
11/29/2021 15:19:30,NaN,11/29/2021 15:19:30,2.161,11/29/2021 15:19:30,NaN,11/29/2021 15:19:30,0.003,11/29/2021 15:19:30,0,11/29/2021 15:19:30,37,11/29/2021 15:19:30,0,11/29/2021 15:19:30,0
11/29/2021 15:43:30,NaN,11/29/2021 15:43:30,NaN,11/29/2021 15:43:30,NaN,11/29/2021 15:43:30,NaN,11/29/2021 15:43:30,0,11/29/2021 15:43:30,0,11/29/2021 15:43:30,0,11/29/2021 15:43:30,0
11/29/2021 15:49:30,NaN,11/29/2021 15:49:30,NaN,11/29/2021 15:49:30,NaN,11/29/2021 15:49:30,NaN,11/29/2021 15:49:30,0,11/29/2021 15:49:30,0,11/29/2021 15:49:30,0,11/29/2021 15:49:30,0
11/29/2021 15:55:30,NaN,11/29/2021 15:55:30,NaN,11/29/2021 15:55:30,NaN,11/29/2021 15:55:30,NaN,11/29/2021 15:55:30,0,11/29/2021 15:55:30,0,11/29/2021 15:55:30,0,11/29/2021 15:55:30,0
11/29/2021 16:01:30,NaN,11/29/2021 16:31:30,0.002,11/29/2021 16:31:30,NaN,11/29/2021 16:31:30,0.000,11/29/2021 16:31:30,0,11/29/2021 16:31:30,37,11/29/2021 16:31:30,0,11/29/2021 16:31:30,0
11/29/2021 16:31:30,NaN,11/29/2021 16:37:30,0.002,11/29/2021 16:37:30,NaN,11/29/2021 16:37:30,0.000,11/29/2021 16:37:30,0,11/29/2021 16:37:30,37,11/29/2021 16:37:30,0,11/29/2021 16:37:30,0
11/29/2021 16:37:30,NaN,11/29/2021 16:43:30,0.002,11/29/2021 16:43:30,NaN,11/29/2021 16:43:30,0.000,11/29/2021 16:43:30,0,11/29/2021 16:43:30,37,11/29/2021 16:43:30,0,11/29/2021 16:43:30,0
11/29/2021 16:43:30,NaN,11/29/2021 16:49:30,0.002,11/29/2021 16:49:30,NaN,11/29/2021 16:49:30,0.000,11/29/2021 16:49:30,0,11/29/2021 16:49:30,37,11/29/2021 16:49:30,0,11/29/2021 16:49:30,0
11/29/2021 16:49:30,NaN,11/29/2021 16:55:30,0.002,11/29/2021 16:55:30,NaN,11/29/2021 16:55:30,0.000,11/29/2021 16:55:30,0,11/29/2021 16:55:30,37,11/29/2021 16:55:30,0,11/29/2021 16:55:30,0
11/29/2021 16:55:30,NaN,11/29/2021 17:01:30,0.002,11/29/2021 17:01:30,NaN,11/29/2021 17:01:30,0.000,11/29/2021 17:01:30,0,11/29/2021 17:01:30,37,11/29/2021 17:01:30,0,11/29/2021 17:01:30,0
11/29/2021 17:01:30,NaN,11/29/2021 17:07:30,0.002,11/29/2021 17:07:30,NaN,11/29/2021 17:07:30,0.000,11/29/2021 17:07:30,0,11/29/2021 17:07:30,37,11/29/2021 17:07:30,0,11/29/2021 17:07:30,0
11/29/2021 17:07:30,NaN,11/29/2021 17:13:30,0.002,11/29/2021 17:13:30,NaN,11/29/2021 17:13:30,0.000,11/29/2021 17:13:30,0,11/29/2021 17:13:30,37,11/29/2021 17:13:30,0,11/29/2021 17:13:30,0
11/29/2021 17:13:30,NaN,11/29/2021 17:19:30,0.002,11/29/2021 17:19:30,NaN,11/29/2021 17:19:30,0.000,11/29/2021 17:19:30,0,11/29/2021 17:19:30,37,11/29/2021 17:19:30,0,11/29/2021 17:19:30,0
11/29/2021 17:19:30,NaN,11/29/2021 17:25:30,0.002,11/29/2021 17:25:30,NaN,11/29/2021 17:25:30,0.000,11/29/2021 17:25:30,0,11/29/2021 17:25:30,37,11/29/2021 17:25:30,0,11/29/2021 17:25:30,0
11/29/2021 17:25:30,NaN,11/29/2021 17:31:30,0.002,11/29/2021 17:31:30,NaN,11/29/2021 17:31:30,0.000,11/29/2021 17:31:30,0,11/29/2021 17:31:30,37,11/29/2021 17:31:30,0,11/29/2021 17:31:30,0
11/29/2021 17:31:30,NaN,11/29/2021 17:37:30,0.002,11/29/2021 17:37:30,NaN,11/29/2021 17:37:30,0.000,11/29/2021 17:37:30,0,11/29/2021 17:37:30,37,11/29/2021 17:37:30,0,11/29/2021 17:37:30,0
11/29/2021 17:37:30,NaN,11/29/2021 17:43:30,0.002,11/29/2021 17:43:30,NaN,11/29/2021 17:43:30,0.000,11/29/2021 17:43:30,0,11/29/2021 17:43:30,37,11/29/2021 17:43:30,0,11/29/2021 17:43:30,0
11/29/2021 17:43:30,NaN,11/29/2021 17:49:30,0.002,11/29/2021 17:49:30,NaN,11/29/2021 17:49:30,0.000,11/29/2021 17:49:30,0,11/29/2021 17:49:30,37,11/29/2021 17:49:30,0,11/29/2021 17:49:30,0
11/29/2021 17:49:30,NaN,11/29/2021 17:55:30,0.002,11/29/2021 17:55:30,NaN,11/29/2021 17:55:30,0.000,11/29/2021 17:55:30,0,11/29/2021 17:55:30,37,11/29/2021 17:55:30,0,11/29/2021 17:55:30,0
11/29/2021 17:55:30,NaN,11/29/2021 18:01:30,0.002,11/29/2021 18:01:30,NaN,11/29/2021 18:01:30,0.000,11/29/2021 18:01:30,0,11/29/2021 18:01:30,37,11/29/2021 18:01:30,0,11/29/2021 18:01:30,0
11/29/2021 18:01:30,NaN,11/29/2021 18:07:30,0.002,11/29/2021 18:07:30,NaN,11/29/2021 18:07:30,0.000,11/29/2021 18:07:30,0,11/29/2021 18:07:30,37,11/29/2021 18:07:30,0,11/29/2021 18:07:30,0
11/29/2021 18:07:30,NaN,11/29/2021 18:13:30,0.002,11/29/2021 18:13:30,NaN,11/29/2021 18:13:30,0.000,11/29/2021 18:13:30,0,11/29/2021 18:13:30,37,11/29/2021 18:13:30,0,11/29/2021 18:13:30,0
11/29/2021 18:13:30,NaN,11/29/2021 18:19:30,0.002,11/29/2021 18:19:30,NaN,11/29/2021 18:19:30,0.000,11/29/2021 18:19:30,0,11/29/2021 18:19:30,37,11/29/2021 18:19:30,0,11/29/2021 18:19:30,0
11/29/2021 18:19:30,NaN,11/29/2021 18:25:30,0.002,11/29/2021 18:25:30,NaN,11/29/2021 18:25:30,0.000,11/29/2021 18:25:30,0,11/29/2021 18:25:30,37,11/29/2021 18:25:30,0,11/29/2021 18:25:30,0
11/29/2021 18:25:30,NaN,11/29/2021 18:31:30,0.002,11/29/2021 18:31:30,NaN,11/29/2021 18:31:30,0.000,11/29/2021 18:31:30,0,11/29/2021 18:31:30,37,11/29/2021 18:31:30,0,11/29/2021 18:31:30,0
11/29/2021 18:31:30,NaN,11/29/2021 18:37:30,0.002,11/29/2021 18:37:30,NaN,11/29/2021 18:37:30,0.000,11/29/2021 18:37:30,0,11/29/2021 18:37:30,37,11/29/2021 18:37:30,0,11/29/2021 18:37:30,0
11/29/2021 18:37:30,NaN,11/29/2021 18:43:30,0.002,11/29/2021 18:43:30,NaN,11/29/2021 18:43:30,0.000,11/29/2021 18:43:30,0,11/29/2021 18:43:30,37,11/29/2021 18:43:30,0,11/29/2021 18:43:30,0
11/29/2021 18:43:30,NaN,11/29/2021 18:49:30,0.002,11/29/2021 18:49:30,NaN,11/29/2021 18:49:30,0.000,11/29/2021 18:49:30,0,11/29/2021 18:49:30,37,11/29/2021 18:49:30,0,11/29/2021 18:49:30,0
11/29/2021 18:49:30,NaN,11/29/2021 18:55:30,0.002,11/29/2021 18:55:30,NaN,11/29/2021 18:55:30,0.000,11/29/2021 18:55:30,0,11/29/2021 18:55:30,37,11/29/2021 18:55:30,0,11/29/2021 18:55:30,0
11/29/2021 18:55:30,NaN,11/29/2021 19:01:30,0.002,11/29/2021 19:01:30,NaN,11/29/2021 19:01:30,0.000,11/29/2021 19:01:30,0,11/29/2021 19:01:30,37,11/29/2021 19:01:30,0,11/29/2021 19:01:30,0
11/29/2021 19:01:30,NaN,11/29/2021 19:07:30,0.002,11/29/2021 19:07:30,NaN,11/29/2021 19:07:30,0.000,11/29/2021 19:07:30,0,11/29/2021 19:07:30,37,11/29/2021 19:07:30,0,11/29/2021 19:07:30,0
11/29/2021 19:07:30,NaN,11/29/2021 19:13:30,0.002,11/29/2021 19:13:30,NaN,11/29/2021 19:13:30,0.000,11/29/2021 19:13:30,0,11/29/2021 19:13:30,37,11/29/2021 19:13:30,0,11/29/2021 19:13:30,0
11/29/2021 19:13:30,NaN,11/29/2021 19:19:30,0.002,11/29/2021 19:19:30,NaN,11/29/2021 19:19:30,0.000,11/29/2021 19:19:30,0,11/29/2021 19:19:30,37,11/29/2021 19:19:30,0,11/29/2021 19:19:30,0
11/29/2021 19:19:30,NaN,11/29/2021 19:25:30,0.002,11/29/2021 19:25:30,NaN,11/29/2021 19:25:30,0.000,11/29/2021 19:25:30,0,11/29/2021 19:25:30,37,11/29/2021 19:25:30,0,11/29/2021 19:25:30,0
11/29/2021 19:25:30,NaN,11/29/2021 19:31:30,0.002,11/29/2021 19:31:30,NaN,11/29/2021 19:31:30,0.000,11/29/2021 19:31:30,0,11/29/2021 19:31:30,37,11/29/2021 19:31:30,0,11/29/2021 19:31:30,0
11/29/2021 19:31:30,NaN,11/29/2021 19:37:30,0.002,11/29/2021 19:37:30,NaN,11/29/2021 19:37:30,0.000,11/29/2021 19:37:30,0,11/29/2021 19:37:30,37,11/29/2021 19:37:30,0,11/29/2021 19:37:30,0
11/29/2021 19:37:30,NaN,11/29/2021 19:43:30,0.002,11/29/2021 19:43:30,NaN,11/29/2021 19:43:30,0.000,11/29/2021 19:43:30,0,11/29/2021 19:43:30,37,11/29/2021 19:43:30,0,11/29/2021 19:43:30,0
11/29/2021 19:43:30,NaN,11/29/2021 19:49:30,0.002,11/29/2021 19:49:30,NaN,11/29/2021 19:49:30,0.000,11/29/2021 19:49:30,0,11/29/2021 19:49:30,37,11/29/2021 19:49:30,0,11/29/2021 19:49:30,0
11/29/2021 19:49:30,NaN,11/29/2021 19:55:30,0.002,11/29/2021 19:55:30,NaN,11/29/2021 19:55:30,0.000,11/29/2021 19:55:30,0,11/29/2021 19:55:30,37,11/29/2021 19:55:30,0,11/29/2021 19:55:30,0
11/29/2021 19:55:30,NaN,11/29/2021 20:01:30,0.002,11/29/2021 20:01:30,NaN,11/29/2021 20:01:30,0.000,11/29/2021 20:01:30,0,11/29/2021 20:01:30,37,11/29/2021 20:01:30,0,11/29/2021 20:01:30,0
11/29/2021 20:01:30,NaN,11/29/2021 20:07:30,0.002,11/29/2021 20:07:30,NaN,11/29/2021 20:07:30,0.000,11/29/2021 20:07:30,0,11/29/2021 20:07:30,37,11/29/2021 20:07:30,0,11/29/2021 20:07:30,0
11/29/2021 20:07:30,NaN,11/29/2021 20:13:30,0.002,11/29/2021 20:13:30,NaN,11/29/2021 20:13:30,0.000,11/29/2021 20:13:30,0,11/29/2021 20:13:30,37,11/29/2021 20:13:30,0,11/29/2021 20:13:30,0
11/29/2021 20:13:30,NaN,11/29/2021 20:19:30,0.002,11/29/2021 20:19:30,NaN,11/29/2021 20:19:30,0.000,11/29/2021 20:19:30,0,11/29/2021 20:19:30,37,11/29/2021 20:19:30,0,11/29/2021 20:19:30,0
11/29/2021 20:19:30,NaN,11/29/2021 20:25:30,0.002,11/29/2021 20:25:30,NaN,11/29/2021 20:25:30,0.000,11/29/2021 20:25:30,0,11/29/2021 20:25:30,37,11/29/2021 20:25:30,0,11/29/2021 20:25:30,0
11/29/2021 20:25:30,NaN,11/29/2021 20:31:30,0.002,11/29/2021 20:31:30,NaN,11/29/2021 20:31:30,0.000,11/29/2021 20:31:30,0,11/29/2021 20:31:30,37,11/29/2021 20:31:30,0,11/29/2021 20:31:30,0
11/29/2021 20:31:30,NaN,11/29/2021 20:37:30,0.002,11/29/2021 20:37:30,NaN,11/29/2021 20:37:30,0.000,11/29/2021 20:37:30,0,11/29/2021 20:37:30,37,11/29/2021 20:37:30,0,11/29/2021 20:37:30,0
11/29/2021 20:37:30,NaN,11/29/2021 20:43:30,0.002,11/29/2021 20:43:30,NaN,11/29/2021 20:43:30,0.000,11/29/2021 20:43:30,0,11/29/2021 20:43:30,37,11/29/2021 20:43:30,0,11/29/2021 20:43:30,0
11/29/2021 20:43:30,NaN,11/29/2021 20:49:30,0.002,11/29/2021 20:49:30,NaN,11/29/2021 20:49:30,0.000,11/29/2021 20:49:30,0,11/29/2021 20:49:30,37,11/29/2021 20:49:30,0,11/29/2021 20:49:30,0
11/29/2021 20:49:30,NaN,11/29/2021 20:55:30,0.002,11/29/2021 20:55:30,NaN,11/29/2021 20:55:30,0.000,11/29/2021 20:55:30,0,11/29/2021 20:55:30,37,11/29/2021 20:55:30,0,11/29/2021 20:55:30,0
11/29/2021 20:55:30,NaN,11/29/2021 21:01:30,0.002,11/29/2021 21:01:30,NaN,11/29/2021 21:01:30,0.000,11/29/2021 21:01:30,0,11/29/2021 21:01:30,37,11/29/2021 21:01:30,0,11/29/2021 21:01:30,0
